id,source,category,text,content_type,is_time_sensitive,has_missing_values,structured_fields,potential_duplicate,duplicate_group,chunk_id,text_length,word_count
011,GRA_VAT_Registration_Guide,vat,"Value Added Tax (VAT) in Ghana is governed by the Value Added Tax Act 2013 (Act 870) as amended. The standard VAT rate is 15%. Additionally the National Health Insurance Levy (NHIL) of 2.5% and the Ghana Education Trust Fund Levy (GETFund Levy) of 2.5% are charged alongside VAT, bringing the effective rate on standard-rated supplies to 21.9% when the COVID-19 Health Recovery Levy (1%) is included. Registration threshold: A person who makes taxable supplies exceeding GHS 200,000 in any 12-month period must register for VAT. Voluntary registration is allowed for persons making or intending to make taxable supplies below the threshold. Application for registration is made online at the GRA taxpayer portal or in person at a GRA VAT office. The registered person must issue tax invoices for all taxable supplies, file monthly VAT returns by the last working day of the following month, and remit any net VAT due. Input VAT (VAT paid on business purchases) can be offset against output VAT (VAT charged on sales). Flat Rate Scheme: Retailers and others meeting the criteria may use the VAT Flat Rate Scheme of 3% on turnover instead of the standard method.",formal,True,False,"{'tax_rates_mentioned': ['21.9', '15', '2.5', '1', '3'], 'ghs_amounts_mentioned': ['200,000'], 'is_qa_format': False, 'has_step_instructions': False}",False,,011,1160,193
012,GRA_VAT_FAQ_Businesses,vat,"Q: What goods and services are exempt from VAT in Ghana? A: Exempt supplies include: unprocessed foodstuffs grown or caught in Ghana, agricultural inputs such as fertilisers seeds and pesticides, financial services (not fees), educational services, medical and healthcare services, residential accommodation rental, public passenger transport, supply of water by GWCL, supply of electricity in domestic quantities, and books and educational material. Zero-rated supplies (taxable at 0%, meaning VAT registered suppliers can still claim input VAT) include: exported goods and services, international transport of goods and passengers, supply of crude oil and refined petroleum for export. Q: What is a Tax Invoice? A: A VAT tax invoice must show the supplier name and address, TIN, VAT registration number, date, sequential invoice number, description of supply, taxable value, VAT amount, NHIL and GETFund amounts and totals. Without a proper tax invoice, a buyer cannot claim input VAT credit.",formal,False,False,"{'tax_rates_mentioned': ['0'], 'is_qa_format': True, 'has_step_instructions': False}",False,,012,994,147
013,GRA_VAT_Flat_Rate_Scheme,vat,"The VAT Flat Rate Scheme (VFRS) in Ghana applies to eligible retailers. Under VFRS the trader charges 3% VAT on the selling price of goods and remits the full 3% to GRA — there is no input VAT deduction. This simplifies accounting for small businesses. Eligibility: turnover between GHS 200,000 and GHS 500,000 per annum, primarily selling goods (not services), not producing goods. Businesses that primarily provide services must use the standard VAT method. Businesses above GHS 500,000 must switch to standard VAT. VFRS businesses must still issue receipts and file monthly returns. The 3% is charged on top of the selling price so technically it is 3/103 of the gross amount — in practice most traders charge 3% on the original price. NHIL and GETFund levies do not apply to the VFRS — only the 3% is charged and remitted.",formal,False,False,"{'tax_rates_mentioned': ['3'], 'ghs_amounts_mentioned': ['200,000', '500,000'], 'is_qa_format': False, 'has_step_instructions': False}",False,,013,826,141
014,GRA_VAT_Compliance_Notice,vat,"VAT compliance obligations summary for registered businesses. 1. Issue tax invoices for every taxable supply. 2. Keep copies of all invoices issued and received for at least 6 years. 3. File monthly VAT return (Form VAT 1A) by the last working day of each month for the previous month. 4. Pay net VAT due at the time of filing. 5. Apply for a VAT certificate which must be displayed at your business premises. 6. Notify GRA within 21 days of any change in business details (address, directors, nature of business). 7. File a nil return even if no transactions occurred in a month. Penalties for late filing: GHS 500 per month for each month of default. Penalties for non-payment: 10% of the tax due plus interest at Bank of Ghana rate. Businesses that cease trading must notify GRA and apply for deregistration. Fraudulent claiming of input VAT is a criminal offence under Act 870 and can result in prosecution.",formal,False,False,"{'tax_rates_mentioned': ['10'], 'ghs_amounts_mentioned': ['500'], 'deadlines': [{'type': 'timeframe', 'value': '21 days'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,014,911,159
015,GRA_TIN_Registration_Guide,tin_registration,"Tax Identification Number (TIN) Registration in Ghana. A TIN is a unique 11-digit number assigned to every taxpayer by GRA. It is mandatory for: opening a bank account, registering a business, clearing goods at the port, purchasing land or immovable property, applying for a driver licence, registering a vehicle, obtaining a building permit, applying for government procurement contracts, and many other official transactions. Who must register: every individual earning income in Ghana (employed or self-employed), every company or partnership, every NGO and charity, every public institution. How to register: Individuals — visit taxpayerportal.gra.gov.gh and select TIN self-service, or visit any GRA office. You need a valid Ghana Card (National ID), or passport for non-Ghanaians. Companies — apply online or in person with Certificate of Incorporation, Certificate to Commence Business, Form 3 and Form 4 from Registrar General. Processing time: TIN is issued on the spot at offices or within 24–48 hours online. TIN registration is FREE — do not pay anyone to register for you.",formal,False,False,"{'is_qa_format': False, 'has_step_instructions': False}",False,,015,1085,165
016,GRA_TIN_FAQ,tin_registration,"Q: I lost my TIN card, how do I get a replacement? A: Visit any GRA office or log into your account at taxpayerportal.gra.gov.gh. You can print a TIN certificate from the portal or request a replacement card at the office with your ID. Q: I have multiple TINs from the past. Is that a problem? A: Yes, you should only have one TIN. Multiple TINs create compliance issues. Visit GRA to merge or deactivate duplicate TINs. Q: Is a TIN the same as my SSNIT number? A: No. Your SSNIT number is assigned by SSNIT (Social Security and National Insurance Trust) for pension purposes. Your TIN is assigned by GRA for tax purposes. They are different numbers but both may be needed for employment. Q: Do children need a TIN? A: Generally no, unless the child earns income such as endorsement fees, acting income or investment income. Parents who invest in the child's name should consult GRA on registration requirements. Q: Can a foreigner get a TIN in Ghana? A: Yes. Non-Ghanaian individuals working or earning income in Ghana must register for a TIN using their passport and work/residence permit.",formal,False,False,"{'is_qa_format': True, 'has_step_instructions': False}",False,,016,1091,191
017,GRA_Personal_Reliefs_2024,personal_relief,"Personal Tax Reliefs available to individuals in Ghana (confirm current amounts at gra.gov.gh as these are updated annually). Marriage Relief: GHS 1,200 per year — available to married persons. Child/Dependent Relief: GHS 1,200 per child up to maximum 2 children — available for legitimate children or dependents in full-time education. Disability Relief: 25% of assessable income — for persons with disability who hold a valid disability card. Old Age Relief: GHS 1,500 per year — for persons aged 60 and above who are still working. Aged Dependant Relief: GHS 1,000 per year for each dependant aged 60 and above (maximum 2 dependants). Educational Relief: Actual cost of training up to a maximum allowed by GRA — for professional development related to employment. Cost of premises used for business from home — proportion of home expenses used for business. Life insurance relief: actual premium paid up to 10% of assessable income. Social Security (SSNIT) contribution: mandatory employee contribution is a relief automatically deducted from assessable income. All reliefs must be claimed on the annual tax return (IT1) form.",formal,True,False,"{'tax_rates_mentioned': ['25', '10'], 'ghs_amounts_mentioned': ['1,000', '1,500', '1,200'], 'is_qa_format': False, 'has_step_instructions': False}",False,,017,1129,177
018,GRA_Personal_Reliefs_FAQ,personal_relief,"Q: My employer does not process my personal reliefs in the PAYE. What should I do? A: Submit a completed Relief Application Form (IT 1) to your employer and request they process the reliefs going forward. Your employer is required to process reliefs you validly claim. If they refuse, contact GRA. You may also claim reliefs retrospectively in your annual tax return. Q: Can both husband and wife claim marriage relief? A: No. Only one spouse can claim the marriage relief. Q: I am a person with disability. Do I still pay income tax? A: Yes but you are entitled to a 25% reduction on your assessable income as a relief. You also need a valid NSDA (National Service Disability Allowance) card or equivalent government-issued disability card. Q: I support my elderly parents. Can I claim aged dependant relief for them? A: Yes, provided they are 60 or older and genuinely dependent on you financially. You can claim up to 2 aged dependants.",formal,False,False,"{'tax_rates_mentioned': ['25'], 'is_qa_format': True, 'has_step_instructions': False}",False,,018,939,163
019,GRA_Self_Employed_Tax_Guide,self_employment,"Self-Employed Persons and Tax in Ghana. If you run your own business, work as a freelancer, or earn income outside of formal employment, you are self-employed for tax purposes. You must: register for a TIN if you have not already, keep records of income and expenses, file an annual self-assessment return (Form IT1) by 30 April each year for the previous year, and pay any tax due. Provisional tax: You must also make quarterly provisional tax payments on estimated income to avoid interest charges. Provisional tax payments fall due on the last day of March, June, September and December. Allowable deductions for self-employed: Cost of goods sold. Business-related salaries and wages. Rent of business premises. Interest on business loans. Depreciation (capital allowance) on business assets. Business insurance. Utilities and communications for business. Professional fees (legal, accounting) for business. Motor vehicle expenses to the extent used for business. Charitable donations to approved charities (limited deduction). Expenses must be wholly, exclusively and necessarily for business to be deductible.",formal,False,False,"{'is_qa_format': False, 'has_step_instructions': False}",False,,019,1114,166
020,GRA_Self_Employed_FAQ,self_employment,"Q: I am a freelance graphic designer. Do I charge my clients VAT? A: If your annual revenue exceeds GHS 200,000 you must register for VAT and charge VAT on your fees. Below this threshold VAT registration is optional. Q: I drive an Uber. Am I self-employed for tax? A: Yes. Ride-hailing drivers are considered self-employed. Income from Uber, Bolt or similar platforms is taxable. You should register for a TIN and file annual returns declaring your earnings. Q: Can I deduct fuel costs as a driver? A: Yes, fuel, vehicle maintenance, insurance, and depreciation of your vehicle (capital allowance) used for income-earning purposes are allowable deductions. Q: I am a photographer at weddings. How much tax do I pay? A: Your net profit (income minus allowable expenses) is subject to income tax at the individual progressive rates. The effective rate depends on how much profit you make. Q: I earn income from YouTube. Is that taxable in Ghana? A: Yes. Digital income, including YouTube ad revenue, social media income and online freelancing income earned by Ghanaian residents, is taxable under the Income Tax Act.",formal,False,False,"{'ghs_amounts_mentioned': ['200,000'], 'is_qa_format': True, 'has_step_instructions': False}",False,,020,1115,185
021,GRA_SME_Tax_Guide,sme,"Small and Medium Enterprises (SMEs) Tax Obligations in Ghana. GRA defines a small taxpayer as one with annual turnover not exceeding GHS 20,000 (verify current threshold as this is updated periodically). Turnover Tax: Small taxpayers who cannot maintain proper books of account may opt for the Turnover Tax regime. Under Turnover Tax, the business pays 3% of annual turnover instead of the standard income tax on profits. This is simpler but may be more expensive if margins are thin. A business wishing to leave the Turnover Tax regime needs GRA approval. Medium businesses with turnover between the small threshold and the VAT registration threshold have standard income tax obligations (file return, pay tax on profits) but may not yet need VAT registration. SMEs are urged to keep basic records: Cash book. Sales records. Purchase records. Stock records. These records help compute taxable profit correctly and defend against estimated assessments by GRA. GRA has SME Desks at major offices dedicated to helping small businesses understand their obligations.",formal,True,False,"{'tax_rates_mentioned': ['3'], 'ghs_amounts_mentioned': ['20,000'], 'is_qa_format': False, 'has_step_instructions': False}",False,,021,1062,166
022,GRA_NGO_Tax_Obligations,ngo_tax,"NGOs (Non-Governmental Organisations) and Tax in Ghana. NGOs are not automatically exempt from all taxes. They must register with GRA and obtain a TIN. Income Tax: An NGO established for charitable, educational, religious or social welfare purposes may apply for exemption from income tax under Section 97 of the Income Tax Act, 2015. The exemption is not automatic — it must be applied for and approved by the Commissioner-General of GRA. The NGO must demonstrate that: it is not operated for profit, income is applied solely to the stated objectives, no benefit flows to individual members. Exemption must be renewed periodically. Employment income of NGO staff: still subject to PAYE — the exemption does not cover employment income. VAT: NGOs that provide taxable services or sell taxable goods above the registration threshold must register for VAT. WHT: NGOs are required to withhold tax on payments to contractors and service providers just like any other entity. Import Duties: Some NGOs with specific government agreements may be exempt from import duties — this is granted by the Ministry of Finance not GRA. Filing: Even with income tax exemption, NGOs must file annual information returns with GRA.",formal,True,False,"{'is_qa_format': False, 'has_step_instructions': False}",False,,022,1210,194
023,GRA_Real_Estate_Tax_Guide,real_estate,"Tax on Real Estate Transactions in Ghana. Sale of property: Capital Gains Tax at 15% applies to gains from sale of land or buildings. The gain is proceeds minus cost base. If the property is your principal private residence and you have lived there for at least 3 years, the gain is exempt. The CGT return must be filed and tax paid within 30 days of completion of the sale. Rental income: Rental income is taxable income. Withholding tax of 8% is deducted by the tenant if the landlord is an individual. This WHT is a final tax for individuals — the landlord does not need to include the rental income in their return if WHT has been correctly deducted. If the landlord is a company, the 8% WHT is creditable against the company's CIT. Multi-let properties: The landlord must issue receipts and keep records of all rental income. Property developers: Companies developing properties for sale are taxed at 22% on profits. Stamp Duty: Applies on transfer of property deeds — this is a separate levy administered by the Lands Commission at rates ranging from 0.5% to 2% of property value. GRA and Lands Commission share information on property transactions.",formal,False,False,"{'tax_rates_mentioned': ['22', '15', '2', '8', '0.5'], 'deadlines': [{'type': 'timeframe', 'value': '30 days'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,023,1155,200
024,GRA_Mining_Oil_Gas_Tax,sector_specific,"Tax Regime for Mining Companies in Ghana. Mining companies are subject to a higher CIT rate of 35%. In addition, mining companies pay: Royalties to the Government of Ghana at rates negotiated in the Mineral Development Agreement (typically 3% to 6% of gross revenue from minerals). Mineral royalties are an allowable deduction for CIT purposes. Additional Profits Tax (Windfall Tax): applicable when returns exceed a set threshold — this has been introduced and revised several times. Capital allowances: Mine development and capital expenditure is deductible over the useful life of the asset using the reducing balance or straight-line method as specified. Ring fencing: Each mining lease is treated as a separate entity for tax purposes — losses from one mine cannot be offset against profits from another mine. Stability agreements: Some older mining companies have fiscal stability clauses in their Investment Agreements locking in tax rates for a set period. Oil and Gas: Petroleum companies are subject to the Petroleum Income Tax Act and their specific Petroleum Agreements. Typical rates: CIT 35%, Additional Oil Entitlement (AOE) varies, and Petroleum income tax provisions apply to ring-fenced petroleum operations.",formal,False,False,"{'tax_rates_mentioned': ['6', '3', '35'], 'is_qa_format': False, 'has_step_instructions': False}",False,,024,1226,187
025,GRA_Communications_Service_Tax,cst,"Communications Service Tax (CST) in Ghana. CST is levied under the Communications Service Tax Act 2008 (Act 754) as amended. Rate: 9% on the charges for use of communications services. Who pays: end users of telecommunications services including voice calls, SMS, data services, and electronic communications. The tax is collected by the communications service provider (telco) and remitted to GRA. Services covered: voice calls on mobile and fixed networks, SMS, data bundles, pay-per-use internet, electronic mail, electronic messaging platforms (OTT services such as WhatsApp calls). The telco must file a monthly CST return and remit by the 15th of the following month. The CST is embedded in the cost of airtime top-up and data bundles — customers pay it automatically. Exemptions: international incoming calls routed to Ghana are not subject to CST. Revenue sharing arrangements between telcos and content providers: the CST applies to the gross charge to the end customer, not just the telco's share.",formal,True,False,"{'tax_rates_mentioned': ['9'], 'deadlines': [{'type': 'deadline', 'value': '15th of'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,025,1007,156
026,GRA_Customs_Import_Duties,customs,"Import and Customs Duties in Ghana. Customs duties are administered by the Customs Division of GRA at ports of entry. Ghana applies the ECOWAS Common External Tariff (CET) which classifies goods under the Harmonized System (HS Codes) with duty rates of 0%, 5%, 10%, 20% and 35% depending on the type of good. In addition to import duty, importers pay: Import VAT (15%+), NHIL (2.5%), GETFund Levy (2.5%), ECOWAS Levy (0.5%), African Union Levy (0.2%), EXIM Levy (0.5%), and inspection fees. The total effective rate on many goods can be 40% to 60% of the CIF (Cost, Insurance and Freight) value. Import process: Importers must register with GRA Customs, have a TIN, and appoint a licensed Customs House Broker to process declarations. The Ghana Integrated Cargo Management System (GICMS) / UNIPASS is used for electronic declarations. Classification disputes: If an importer disputes the duty rate applied by Customs, they can appeal to the Commissioner of Customs and subsequently to the Revenue Appeals Board. Prohibited imports: Certain goods are prohibited from import entirely (e.g. counterfeit goods, certain chemical weapons precursors). Restricted imports require special permits (e.g. firearms, pharmaceuticals, food items).",formal,False,False,"{'tax_rates_mentioned': ['40', '10', '35', '15', '2.5', '60', '0', '20', '0.2', '0.5', '5'], 'is_qa_format': False, 'has_step_instructions': False}",False,,026,1233,189
027,GRA_Customs_FAQ,customs,"Q: How is customs duty calculated? A: Customs duty is calculated on the CIF value of goods (cost of goods + insurance + freight to Ghana port). The CIF value is multiplied by the applicable duty rate. Q: I am importing personal effects after returning from abroad. Do I pay duty? A: Returning residents and citizens may apply for relief on used personal effects and household items when relocating permanently to Ghana. The items must have been owned and used abroad for at least 6 months. Q: What is a Benchmark Value? A: GRA Customs uses benchmark (reference) values for certain goods to prevent under-invoicing. If the declared value is below the benchmark, Customs will use the benchmark value to calculate duty. Importers can challenge benchmark values. Q: Can I pay customs duty in installments? A: Generally no — full payment is required for release of goods. However in specific circumstances a bond or security may be accepted. Q: What is the difference between customs duty and excise duty? A: Customs duty is charged on imported goods at the border. Excise duty is charged on specific locally-produced or imported goods (e.g. alcoholic beverages, tobacco, fuel, plastics) and is administered separately by GRA's Domestic Tax Revenue Division.",formal,False,False,"{'is_qa_format': True, 'has_step_instructions': False}",False,,027,1253,206
028,GRA_Excise_Duty_Overview,excise_duty,"Excise Duty in Ghana is levied under the Excise Duty Act 2014 (Act 878). Excise duty applies to the manufacture and importation of specified goods including: alcoholic beverages (beer, spirits, wine), tobacco products, soft drinks and non-alcoholic beverages, plastics and plastic products, textiles, petroleum products, vehicle/automotive parts (selected). Rates vary by product type. For example: beer — GHS per litre or percentage of factory price; spirits — higher rate per litre; tobacco products — per stick or percentage. Manufacturers of excisable goods must register with GRA, install GRA-approved excise meters or stamps (tax stamps on cigarette packs and alcohol), file monthly returns and pay excise duty on goods removed from the factory. Tax stamps: Ghana uses a track-and-trace tax stamp system for tobacco and alcoholic beverages to combat illicit trade. All cigarette packs and alcohol bottles sold in Ghana must bear a valid GRA tax stamp. Buying or selling unstamped tobacco or alcohol is an offence. Excise duty is charged in addition to other taxes like VAT.",formal,True,False,"{'is_qa_format': False, 'has_step_instructions': False}",False,,028,1079,167
029,GRA_Filing_Deadlines_Summary,filing_deadline,"Summary of key GRA filing deadlines. Monthly obligations (by 15th of following month): PAYE, WHT returns and remittances, CST returns. Monthly obligations (last working day of following month): VAT returns and payments. Quarterly: Provisional income tax payments for individuals and companies — last day of March, June, September, December. Annual income tax return for individuals: 30 April (self-employed, rental income earners, persons with multiple income sources). Annual income tax return for companies: within 4 months of year-end. For December year-end companies this is 30 April. VAT annual adjustment for partial exemption businesses: within 30 days of year-end. CGT return and payment: within 30 days of disposal. Nil returns: A taxpayer registered for a tax type must file a nil return even in periods of no activity. The GRA online portal at taxpayerportal.gra.gov.gh allows online filing for most tax types. Filing can also be done in person at any GRA district office. GRA may grant extensions of time to file on written application with good cause — but extension of filing does not extend the time to pay.",formal,False,False,"{'deadlines': [{'type': 'timeframe', 'value': '4 months'}, {'type': 'timeframe', 'value': '30 days'}, {'type': 'timeframe', 'value': '30 days'}], 'is_qa_format': False, 'has_step_instructions': False}",False,,029,1122,177
030,GRA_Online_Filing_Guide,filing_process,"How to File Taxes Online with GRA. The GRA Taxpayer Portal is at taxpayerportal.gra.gov.gh. Step 1: Go to taxpayerportal.gra.gov.gh and click on Register if you are a new user, or Login if you already have an account. Step 2: Register using your TIN, personal details and create a password. Step 3: After logging in, select the tax type you want to file (Income Tax, VAT, PAYE, WHT etc.). Step 4: Select the period you are filing for and complete the return form online. Step 5: Review your submission and confirm. Step 6: Proceed to make payment using the options available (bank transfer, GhIPSS, Mobile Money, card payment at partner banks). Step 7: Download and save your acknowledgement receipt and payment confirmation. Common issues: Portal login problems — try resetting password or call the GRA helpline 0800-900-110. TIN not recognised — you may need to complete registration at a GRA office first. Portal is available 24/7 but maintenance windows may apply. For large companies, the GRA Large Taxpayer Office (LTO) handles filings for taxpayers above a certain revenue threshold — check with GRA if your company qualifies.",formal,False,False,"{'is_qa_format': False, 'has_step_instructions': True}",False,,030,1133,186
